,name,order,quantity,sku
113,"Liebherr CNbdd 5733 Plus, арт. CNbdd5733 (шт.)", ,1,CNbdd5733
114,"Liebherr CNbef 5723 Plus, арт. CNbef5723 (шт.)", ,1,CNbef5723
115,"Liebherr CNd 5753 Prime, арт. CNd5753 (шт.)",1,2,CNd5753
116,"Liebherr CNf 5203, арт. CNf5203 (шт.)", ,1,CNf5203
117,"Liebherr CNsff 5203 Pure, арт. CNsff5203 Pure (шт.)",1,1,CNsff5203 Pure
118,"Liebherr CT 2931, арт. CT2931 (шт.)",1,2,CT2931
119,"Liebherr CU 3331, арт. CU3331 (шт.)", ,1,CU3331
120,"Liebherr CUE 3331, арт. CUE3331 (шт.)", ,1,CUE3331
122,"Liebherr G 1213, арт. G1213 (шт.)", ,1,G1213
123,"Liebherr GN 1066, арт. GN1066 (шт.)", ,1,GN1066
125,"Liebherr CFF 1870, арт. CFF1870 (шт.)",1,1,CFF1870
127,"Liebherr KBgb 3864, арт. KBgb3864 (шт.)", ,1,KBgb3864
128,"Liebherr Tb 1400, арт. Tb1400 (шт.)", ,1,Tb1400
134,"Siemens TZ60003, арт. TZ60003 (шт.)", ,7,TZ60003
139,"Smeg HBF01CREU, арт. HBF01CREU (шт.)", ,1,HBF01CREU
140,"Smeg HBF11BLEU, арт. HBF11BLEU (шт.)", ,1,HBF11BLEU
141,"Smeg HBF22CREU, арт. HBF22CREU (шт.)", ,1,HBF22CREU
144,"Smeg DCF02SSEU, арт. DCF02SSEU (шт.)", ,1,DCF02SSEU
152,"Smeg CJF01WHMEU, арт. CJF01WHMEU (шт.)", ,1,CJF01WHMEU
153,"Smeg CJF11BLEU, арт. CJF11BLEU (шт.)", ,1,CJF11BLEU
154,"Smeg CJF11CREU, арт. CJF11CREU (шт.)", ,1,CJF11CREU
155,"Smeg CJF11WHEU, арт. CJF11WHEU (шт.)", ,1,CJF11WHEU
