,manufacturer,sku,quantity,price
482,Bosch,BEL623MD3,2,14179
483,Bosch,BEL653MS3,0,13139
484,Siemens,BF722L1W1,0,35599
485,Bosch,BFL623MC3,2,12699
486,Bosch,BFL623MW3,2,12699
487,Bosch,BFL7221B1,0,35599
488,Bosch,BFL7221W1,0,35599
489,Bosch,BFR7221B1,0,35599
490,Siemens,BI710C1B1,2,36399
491,Siemens,BI710C1W1,2,37999
492,Siemens,BI710E1B1,0,22399
493,Bosch,BIC630NS1,0,22789
494,Bosch,BIC7101B1,0,36399
495,Siemens,CD634GAS0,2,55569
496,Siemens,CD714GXB1,2,62999
497,Siemens,CM724G1B1,2,92999
498,Siemens,CM724G1W1,2,92999
499,Bosch,CMG636BS1,0,63979
500,Bosch,CMG7241B1,2,60899
501,Bosch,CMG7241W1,2,60899
502,Siemens,CS736G1B1,2,82999
503,Bosch,CSG7364B1,2,92999
504,Siemens,CT718L1B0,0,107669
505,Siemens,CT718L1W0,2,107669
506,Bosch,CTL7181B0,0,110889
507,Bosch,CTL7181W0,2,110889
508,Bosch,DFM064W54,0,13649
509,Bosch,DHL555BL,0,12709
510,Bosch,DHZ7305,0,2309
511,Bosch,DIB97IM50,2,33299
512,Bosch,DWB66DM50,0,16059
513,Bosch,DWB96DM50,0,16799
514,Bosch,DWF65AJ20T,0,13999
515,Bosch,DWF65AJ60T,0,13999
516,Bosch,DWK065G20R,0,12299
517,Bosch,DWK065G60R,2,12299
518,Bosch,DWK65AD30R,2,17189
519,Bosch,DWK66AJ60T,2,13999
520,Siemens,EE631BPB1E,2,25099
521,Siemens,EG6B5HO92R,2,13379
522,Siemens,EH651FFC1E,2,35629
523,Siemens,EN6B6PO92R,2,14499
524,Siemens,EP6A2PB20R,2,18019
525,Siemens,ER3A6BB70,0,25729
526,Siemens,ET475FYB1E,0,48849
527,Siemens,EU631FEB1E,0,24839
528,Siemens,EX375FXB1E,2,34289
529,Siemens,EX652FEC1E,0,42739
530,Siemens,EX675LEC1E,2,58389
531,Siemens,EX675LXC1E,0,65599
532,Siemens,EX975LVC1E,0,76929
533,Bosch,GSN36VL30U,0,44639
534,Siemens,HB272ABB0,0,29299
